AS23456,UN,4Byte ASN Place Holder
AS361,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS4725,JP,ODN SOFTBANK TELECOM Corp.
AS10507,US,SPCS - Sprint Personal Communications Systems
AS9924,TW,TFN-TW Taiwan Fixed Network, Telco and Network Service Provider.
AS559,EU,SWITCH SWITCH, Swiss Education and Research Network
AS56040,CN,CMNET-GUANGDONG-AP China Mobile communications corporation
AS1101,EU,IP-EEND-AS IP-EEND BV
AS8228,FR,CEGETEL-AS Societe Francaise du Radiotelephone S.A
AS56041,CN,CMNET-ZHEJIANG-AP China Mobile communications corporation
AS5384,AE,EMIRATES-INTERNET Emirates Telecommunications Corporation
AS36992,EG,ETISALAT-MISR
AS7011,US,FRONTIER-AND-CITIZENS - Frontier Communications of America, Inc.
AS4565,US,MEGAPATH2-US - MegaPath Networks Inc.
AS56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
AS5713,ZA,SAIX-NET
AS21502,FR,ASN-NUMERICABLE NUMERICABLE is a cable network operator in France, offering TV,VOICE and Internet services
AS17421,TW,EMOME-TW Long Distance & Mobile Business Group,
AS6057,UY,Administracion Nacional de Telecomunicaciones
AS37168,ZA,CELL-C
AS553,EU,BELWUE Landeshochschulnetz Baden-Wuerttemberg (BelWue)
AS17552,TH,TRUE-AS-AP True Internet Co.,Ltd.
AS8030,US,WORLDNET5-10 - AT&T WorldNet
AS5619,NO,ERGO EVRY AS
AS16232,IT,ASN-TIM TIM (Telecom Italia Mobile) Autonomous System
AS17813,IN,MTNL-AP Mahanagar Telephone Nigam Ltd.
AS5610,CZ,TO2-CZECH-REPUBLIC Telefonica Czech Republic, a.s.
AS10010,JP,TOKAI TOKAI Communications Corporation
AS35819,SA,MOBILY-AS Etihad Etisalat Company (Mobily)
AS15290,CA,ALLST-15290 - Allstream Corp.
AS12638,DE,AS12638 E-Plus Mobilfunk GmbH & Co. KG
AS56046,CN,CMNET-JIANGSU-AP China Mobile communications corporation
AS20959,IT,TELECOM-ITALIA-DATA-COM Telecom Italia S.p.A.
AS7575,AU,AARNET-AS-AP Australian Academic and Reasearch Network (AARNet)
AS9050,RO,RTD ROMTELECOM S.A
AS2519,JP,VECTANT VECTANT Ltd.
AS2514,JP,INFOSPHERE NTT PC Communications, Inc.
AS6503,MX,Axtel, S.A.B. de C.V.
AS1680,IL,NV-ASN 013 NetVision Ltd.
AS9812,CN,CNNIC-CN-COLNET Oriental Cable Network Co., Ltd.
AS20940,EU,AKAMAI-ASN1 Akamai International B.V.
AS21327,GB,H3GUKNIE Hutchison 3G UK and Ireland Core AS
AS9304,HK,HUTCHISON-AS-AP Hutchison Global Communications
AS3633,CA,PROVINCE-OF-BRITISH-COLUMBIA - Province of British Columbia
AS8551,IL,BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone
AS18126,JP,CTCX Chubu Telecommunications Company, Inc.
AS33771,KE,SAFARICOM-LIMITED
AS766,ES,REDIRIS Entidad Publica Empresarial Red.es
AS24863,EG,LINKdotNET-AS
AS4760,HK,HKTIMS-AP PCCW Limited
AS157,US,INTELLIAUTON - Silicon Graphics International Corporation
AS13999,MX,Mega Cable, S.A. de C.V.
AS8612,IT,TISCALI-IT Tiscali Italia S.P.A.
AS210,US,WEST-NET-WEST - Utah Education Network
AS5400,GB,BT British Telecommunications plc
AS18403,VN,FPT-AS-AP The Corporation for Financing & Promoting Technology
AS22561,US,DIGITAL-TELEPORT - Digital Teleport Inc.
AS24400,CN,CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.
AS10695,US,WAL-MART - Wal-Mart Stores, Inc.
AS24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
AS600,US,OARNET-AS - OARnet
AS17803,IN,BSES-AS-AP BSES TeleCom Limited
AS8220,GB,COLT COLT Technology Services Group Limited
AS16086,FI,DNA DNA Oy
AS10429,BR,Telefonica Data S.A.
AS17964,CN,DXTNET Beijing Dian-Xin-Tong Network Technologies Co., Ltd.
AS23889,MU,MauritiusTelecom
AS12880,IR,DCI-AS Information Technology Company (ITC)
AS6614,US,USCC-ASN - United States Cellular Telephone Company, LP
AS18566,US,COVAD - Covad Communications Co.
AS2381,US,WISCNET1-AS - WiscNet
AS7385,US,INTEGRATELECOM - Integra Telecom, Inc.
AS8997,RU,ASN-SPBNIT OJSC Rostelecom
AS8374,PL,PLUSNET Polkomtel Sp. z o.o.
AS378,EU,MACHBA-AS ILAN
AS4780,TW,SEEDNET Digital United Inc.
AS9269,HK,HKBN-AS-AP Hong Kong Broadband Network Ltd.
AS6871,GB,PLUSNET PlusNet PLC
AS5430,DE,FREENETDE freenet Datenkommunikations GmbH
